feature,index,weight,rank
lowlevel.gfcc.kurt[13].accompaniment,116,0.0021717873405535026,*
tonal.chords_strength.mean.accompaniment,65,0.0021717873405535026,*
tonal.chords_number_rate.accompaniment,64,0.0021717873405535026,*
rhythm.bpm.accompaniment,61,0.0021717873405535026,*
rhythm.beats_loudness.min.accompaniment,59,0.0021717873405535026,*
lowlevel.barkbands_flatness_db.kurt.accompaniment,2,0.0021717873405535026,*
lowlevel.barkbands_flatness_db.min.accompaniment,3,0.0021717873405535026,*
lowlevel.barkbands_kurtosis.skew.accompaniment,6,0.0021717873405535026,*
lowlevel.barkbands_kurtosis.var.accompaniment,7,0.0021717873405535026,*
lowlevel.barkbands_spread.kurt.accompaniment,8,0.0021717873405535026,*
lowlevel.dissonance.kurt.accompaniment,9,0.0021717873405535026,*
lowlevel.erbbands_flatness_db.kurt.accompaniment,13,0.0021717873405535026,*
lowlevel.erbbands_flatness_db.min.accompaniment,14,0.0021717873405535026,*
lowlevel.erbbands_kurtosis.min.accompaniment,17,0.0021717873405535026,*
lowlevel.erbbands_skewness.kurt.accompaniment,19,0.0021717873405535026,*
lowlevel.erbbands_skewness.skew.accompaniment,20,0.0021717873405535026,*
lowlevel.erbbands_spread.kurt.accompaniment,21,0.0021717873405535026,*
lowlevel.loudness_ebu128.momentary.dvar2.accompaniment,26,0.0021717873405535026,*
lowlevel.loudness_ebu128.short_term.dvar2.accompaniment,28,0.0021717873405535026,*
lowlevel.loudness_ebu128.short_term.var.accompaniment,30,0.0021717873405535026,*
lowlevel.melbands_crest.kurt.accompaniment,31,0.0021717873405535026,*
lowlevel.melbands_flatness_db.min.accompaniment,32,0.0021717873405535026,*
lowlevel.melbands_kurtosis.dvar2.accompaniment,33,0.0021717873405535026,*
lowlevel.melbands_kurtosis.min.accompaniment,34,0.0021717873405535026,*
lowlevel.melbands_skewness.kurt.accompaniment,35,0.0021717873405535026,*
lowlevel.melbands_skewness.min.accompaniment,36,0.0021717873405535026,*
lowlevel.pitch_salience.kurt.accompaniment,38,0.0021717873405535026,*
lowlevel.pitch_salience.max.accompaniment,39,0.0021717873405535026,*
lowlevel.silence_rate_30dB.kurt.accompaniment,40,0.0021717873405535026,*
lowlevel.silence_rate_60dB.kurt.accompaniment,42,0.0021717873405535026,*
lowlevel.spectral_energyband_middle_high.max.accompaniment,45,0.0021717873405535026,*
lowlevel.spectral_energyband_middle_low.kurt.accompaniment,47,0.0021717873405535026,*
lowlevel.spectral_rolloff.min.accompaniment,56,0.0021717873405535026,*
lowlevel.spectral_strongpeak.kurt.accompaniment,57,0.0021717873405535026,*
lowlevel.gfcc.max[7].accompaniment,118,0.0021717873405535026,*
lowlevel.gfcc.mean[12].accompaniment,127,0.0021717873405535026,*
lowlevel.mfcc.skew[13].accompaniment,256,0.0021717873405535026,*
lowlevel.mfcc.mean[7].accompaniment,229,0.0021717873405535026,*
lowlevel.melbands128.skew[23].accompaniment,183,0.0021717873405535026,*
lowlevel.melbands128.skew[111].accompaniment,210,0.0021717873405535026,*
lowlevel.mfcc.kurt[3].accompaniment,211,0.0021717873405535026,*
lowlevel.mfcc.kurt[6].accompaniment,214,0.0021717873405535026,*
lowlevel.mfcc.kurt[7].accompaniment,215,0.0021717873405535026,*
lowlevel.mfcc.kurt[8].accompaniment,216,0.0021717873405535026,*
lowlevel.mfcc.kurt[9].accompaniment,217,0.0021717873405535026,*
lowlevel.mfcc.kurt[10].accompaniment,218,0.0021717873405535026,*
lowlevel.mfcc.kurt[11].accompaniment,219,0.0021717873405535026,*
lowlevel.mfcc.kurt[12].accompaniment,220,0.0021717873405535026,*
lowlevel.mfcc.kurt[13].accompaniment,221,0.0021717873405535026,*
lowlevel.mfcc.max[6].accompaniment,223,0.0021717873405535026,*
lowlevel.mfcc.max[8].accompaniment,224,0.0021717873405535026,*
lowlevel.mfcc.max[9].accompaniment,225,0.0021717873405535026,*
lowlevel.mfcc.mean[11].accompaniment,232,0.0021717873405535026,*
lowlevel.gfcc.mean[13].accompaniment,128,0.0021717873405535026,*
lowlevel.mfcc.mean[13].accompaniment,233,0.0021717873405535026,*
lowlevel.mfcc.median[5].accompaniment,234,0.0021717873405535026,*
lowlevel.mfcc.median[12].accompaniment,236,0.0021717873405535026,*
lowlevel.mfcc.min[5].accompaniment,237,0.0021717873405535026,*
lowlevel.mfcc.skew[3].accompaniment,246,0.0021717873405535026,*
lowlevel.mfcc.skew[4].accompaniment,247,0.0021717873405535026,*
lowlevel.mfcc.skew[5].accompaniment,248,0.0021717873405535026,*
lowlevel.mfcc.skew[6].accompaniment,249,0.0021717873405535026,*
lowlevel.mfcc.skew[7].accompaniment,250,0.0021717873405535026,*
lowlevel.mfcc.skew[8].accompaniment,251,0.0021717873405535026,*
lowlevel.mfcc.skew[9].accompaniment,252,0.0021717873405535026,*
lowlevel.mfcc.skew[10].accompaniment,253,0.0021717873405535026,*
lowlevel.mfcc.skew[11].accompaniment,254,0.0021717873405535026,*
lowlevel.mfcc.skew[12].accompaniment,255,0.0021717873405535026,*
lowlevel.melbands128.skew[21].accompaniment,182,0.0021717873405535026,*
lowlevel.melbands128.skew[20].accompaniment,181,0.0021717873405535026,*
lowlevel.melbands128.skew[15].accompaniment,180,0.0021717873405535026,*
lowlevel.melbands128.skew[14].accompaniment,179,0.0021717873405535026,*
lowlevel.gfcc.median[7].accompaniment,130,0.0021717873405535026,*
lowlevel.gfcc.min[2].accompaniment,132,0.0021717873405535026,*
lowlevel.gfcc.skew[4].accompaniment,141,0.0021717873405535026,*
lowlevel.gfcc.skew[5].accompaniment,142,0.0021717873405535026,*
lowlevel.gfcc.skew[7].accompaniment,144,0.0021717873405535026,*
lowlevel.gfcc.skew[8].accompaniment,145,0.0021717873405535026,*
lowlevel.gfcc.skew[9].accompaniment,146,0.0021717873405535026,*
lowlevel.gfcc.skew[10].accompaniment,147,0.0021717873405535026,*
lowlevel.gfcc.skew[11].accompaniment,148,0.0021717873405535026,*
lowlevel.gfcc.skew[12].accompaniment,149,0.0021717873405535026,*
lowlevel.gfcc.skew[13].accompaniment,150,0.0021717873405535026,*
lowlevel.melbands.max[15].accompaniment,154,0.0021717873405535026,*
lowlevel.melbands.max[16].accompaniment,155,0.0021717873405535026,*
lowlevel.melbands128.kurt[1].accompaniment,160,0.0021717873405535026,*
lowlevel.melbands128.kurt[2].accompaniment,161,0.0021717873405535026,*
lowlevel.melbands128.kurt[8].accompaniment,162,0.0021717873405535026,*
lowlevel.melbands128.kurt[12].accompaniment,163,0.0021717873405535026,*
lowlevel.melbands128.kurt[16].accompaniment,164,0.0021717873405535026,*
lowlevel.melbands128.kurt[17].accompaniment,165,0.0021717873405535026,*
