numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
60,16.604,1.616,0.011,0.002,0.610,0.046,0.608,0.047,0.610,0.046,0.610,0.046,0.618,0.047,0.610,0.046,0.610,0.047
61,17.098,1.617,0.011,0.003,0.615,0.048,0.613,0.049,0.615,0.048,0.615,0.048,0.624,0.049,0.615,0.048,0.615,0.049
62,16.896,1.570,0.011,0.002,0.619,0.052,0.617,0.052,0.619,0.052,0.619,0.052,0.626,0.052,0.619,0.052,0.619,0.053
63,17.225,1.681,0.012,0.002,0.620,0.051,0.618,0.051,0.620,0.051,0.620,0.051,0.628,0.050,0.620,0.051,0.620,0.051
64,15.508,1.609,0.010,0.002,0.619,0.052,0.616,0.052,0.619,0.052,0.619,0.052,0.627,0.052,0.619,0.052,0.619,0.052
65,15.804,1.590,0.010,0.002,0.620,0.052,0.618,0.052,0.620,0.052,0.620,0.052,0.627,0.052,0.620,0.052,0.620,0.052
66,16.153,1.565,0.011,0.002,0.618,0.051,0.616,0.051,0.618,0.051,0.618,0.051,0.625,0.052,0.618,0.051,0.618,0.052
67,17.097,1.651,0.011,0.002,0.614,0.049,0.611,0.049,0.614,0.049,0.614,0.049,0.620,0.050,0.614,0.049,0.614,0.049
68,17.274,1.683,0.011,0.002,0.615,0.049,0.613,0.050,0.615,0.049,0.615,0.049,0.622,0.049,0.615,0.049,0.615,0.050
69,17.638,1.682,0.011,0.002,0.615,0.048,0.613,0.048,0.615,0.048,0.615,0.048,0.621,0.048,0.615,0.048,0.615,0.049
70,17.834,1.735,0.011,0.003,0.617,0.049,0.615,0.050,0.617,0.049,0.617,0.049,0.623,0.050,0.617,0.049,0.617,0.050
71,17.801,1.727,0.011,0.002,0.613,0.049,0.611,0.049,0.613,0.049,0.613,0.049,0.619,0.048,0.613,0.049,0.613,0.049
72,18.026,1.741,0.011,0.002,0.612,0.046,0.610,0.046,0.612,0.046,0.612,0.046,0.619,0.046,0.612,0.046,0.612,0.046
73,18.546,1.768,0.011,0.002,0.613,0.047,0.611,0.047,0.613,0.047,0.613,0.047,0.621,0.047,0.613,0.047,0.613,0.047
74,18.742,1.830,0.011,0.003,0.614,0.046,0.612,0.046,0.614,0.046,0.614,0.046,0.621,0.047,0.614,0.046,0.614,0.046
75,19.100,1.896,0.012,0.002,0.614,0.045,0.611,0.045,0.614,0.045,0.614,0.045,0.620,0.046,0.614,0.045,0.614,0.045
76,19.319,1.850,0.012,0.002,0.621,0.045,0.619,0.046,0.621,0.045,0.621,0.045,0.628,0.046,0.621,0.045,0.621,0.046
77,19.488,1.839,0.012,0.002,0.623,0.047,0.621,0.047,0.623,0.047,0.623,0.047,0.630,0.047,0.623,0.047,0.623,0.047
78,19.526,1.857,0.012,0.002,0.620,0.045,0.618,0.046,0.620,0.045,0.620,0.045,0.627,0.046,0.620,0.045,0.620,0.046
79,19.724,1.915,0.012,0.003,0.616,0.045,0.614,0.046,0.616,0.045,0.616,0.045,0.624,0.046,0.616,0.045,0.616,0.046
80,17.965,1.787,0.011,0.002,0.615,0.046,0.613,0.046,0.615,0.046,0.615,0.046,0.622,0.046,0.615,0.046,0.615,0.046
